,Date of 8-day Window,"Centroid of Selection (Lat,Lon)",Number of Pixels,Average AOD,5% Percentile AOD,50% Percentile (Median) AOD,95% Percentile AOD,Percent of Pixels with no Data
0,2010-01-01,"26.63, 86.73",100,0.19047357,0.05905511975288391,0.14566929638385773,0.36220473051071167,29.0
0,2010-01-09,"26.63, 86.73",100,0.47673994,0.1322834610939026,0.4291338622570038,1.0,13.0
0,2010-01-17,"26.63, 86.73",100,0.16908413,0.09291338622570038,0.14173229038715363,0.30787401795387265,43.0
0,2010-01-25,"26.63, 86.73",100,0.5585164,0.2114173263311386,0.5433070659637451,0.9889763832092284,5.0
0,2010-02-02,"26.63, 86.73",100,0.60343206,0.33228347152471543,0.624015748500824,0.8066928863525391,8.0
0,2010-02-10,"26.63, 86.73",100,0.22574805,0.05492125973105431,0.234251968562603,0.4057086482644081,0.0
0,2010-02-18,"26.63, 86.73",100,0.5412777,0.14330708980560306,0.6062992215156555,0.8874015688896179,3.0
0,2010-02-26,"26.63, 86.73",100,0.6094807,0.0937007874250412,0.7283464670181274,1.0,1.0
0,2010-02-26,"26.63, 86.73",100,0.6094807,0.0937007874250412,0.7283464670181274,1.0,1.0
0,2010-03-06,"26.63, 86.73",100,0.36858276,0.16909448206424713,0.3700787425041199,0.5716535687446593,0.0
0,2010-03-14,"26.63, 86.73",100,0.6067323,0.35688977092504504,0.6456692814826965,0.8035432815551757,0.0
0,2010-03-22,"26.63, 86.73",100,0.67208654,0.22244094237685205,0.751968502998352,0.9685039520263672,0.0
0,2010-03-30,"26.63, 86.73",100,0.6028347,0.3344488084316254,0.6161417365074158,0.8661417365074158,0.0
0,2010-04-07,"26.63, 86.73",100,0.702126,0.4566929042339325,0.6968504190444946,0.9962598443031311,0.0
0,2010-04-15,"26.63, 86.73",100,0.6894747,0.22007873952388762,0.8661417365074158,1.0,21.0
0,2010-04-23,"26.63, 86.73",100,0.60208094,0.24015748500823975,0.7047244310379028,0.8685039401054381,2.0
0,2010-04-23,"26.63, 86.73",100,0.60208094,0.24015748500823975,0.7047244310379028,0.8685039401054381,2.0
0,2010-05-01,"26.63, 86.73",100,0.8142106,0.6771653294563293,0.8031495809555054,1.0,79.0
0,2010-05-09,"26.63, 86.73",100,0.3664164,0.12598425149917603,0.4114173352718353,0.6072834730148315,14.0
0,2010-05-17,"26.63, 86.73",100,0.7603346,0.5311023473739624,0.7814960479736328,0.8870078682899475,60.0
